Биграмма,Частота
"('специализированный', 'перевозка')",22
"('кран', 'манипулятор')",21
"('рабочий', 'платформа')",17
"('специальный', 'автомобиль')",15
"('автомобиль', 'фургон')",14
"('специализированный', 'прицеп')",14
"('гусеничный', 'ход')",14
"('специальный', 'передвижной')",14
"('каток', 'дорожный')",13
"('прицеп', 'тракторный')",12
"('общий', 'назначение')",12
"('транспортный', 'средство')",12
"('специальный', 'машина')",12
"('грузовой', 'бортовой')",11
"('погрузчик', 'фронтальный')",11
"('специализированный', 'автомобиль')",11
"('погрузчик', 'колесный')",11
"('фургон', 'изотермический')",10
"('буровой', 'установка')",10
"('кран', 'стреловой')",10
"('седельный', 'тягач')",9
"('экскаватор', 'одноковшовый')",9
"('экскаватор', 'погрузчик')",9
"('автомобиль', 'бортовой')",9
"('оснащать', 'кран')",9
"('фургон', 'рефрижератор')",9
"('колесный', 'ход')",9
"('подъемник', 'рабочий')",9
"('мини', 'погрузчик')",8
"('специальный', 'прицеп')",8
"('фронтальный', 'погрузчик')",8
"('специализированный', 'полуприцеп')",8
"('самоходный', 'гусеничный')",8
"('погрузчик', 'одноковшовый')",8
"('вилочный', 'погрузчик')",8
"('бортовый', 'поворот')",8
"('автомобиль', 'специальный')",7
"('машина', 'коммунальный')",7
"('автомобиль', 'самосвал')",7
"('автомобиль', 'тягач')",7
"('бортовой', 'платформа')",7
"('кму', 'специализированный')",7
"('автомобиль', 'сортиментовоз')",7
"('тягач', 'лесовозный')",7
"('трактор', 'колесный')",7
"('фронтальный', 'одноковшовый')",7
"('вилочный', 'автопогрузчик')",6
"('самосвал', 'кму')",6
"('тягач', 'седельный')",6
"('крюковой', 'погрузчик')",6
"('погрузчик', 'телескопический')",6
"('ломовоз', 'кму')",6
"('подметальный', 'уборочный')",6
"('специальный', 'грузовой')",6
"('прицеп', 'перевозка')",6
"('колесный', 'погрузчик')",6
"('колесный', 'сельскохозяйственный')",6
"('самоходный', 'установка')",6
"('погрузчик', 'экскаватор')",6
"('машина', 'дорожный')",6
"('одноковшовый', 'колесный')",6
"('грузоподъемный', 'борт')",6
"('платформа', 'специальный')",6
"('кму', 'прицеп')",5
"('прицеп', 'бортовой')",5
"('прицеп', 'роспуск')",5
"('дробильный', 'установка')",5
"('машина', 'вакуумный')",5
"('тракторный', 'специальный')",5
"('бортовой', 'полуприцеп')",5
"('грузовой', 'фургон')",5
"('специализированный', 'пассажирский')",5
"('автопогрузчик', 'вилочный')",5
"('автомобиль', 'грузовой')",5
"('специализированный', 'фургон')",5
"('перевозка', 'сменный')",5
"('сменный', 'кузов')",5
"('перевозка', 'пищевой')",5
"('пищевой', 'жидкость')",5
"('вилочный', 'захват')",5
"('полуприцеп', 'тент')",5
"('тент', 'специальный')",5
"('направлять', 'бурение')",5
"('каток', 'вибрационный')",5
"('специальный', 'мобильный')",5
"('машина', 'специальный')",5
"('установка', 'специальный')",5
"('полуприцеп', 'тракторный')",5
"('дорожный', 'машина')",5
"('манипулятор', 'специальный')",5
"('экскаватор', 'колесный')",5
"('специализированный', 'автоцистерна')",5
"('гусеничный', 'экскаватор')",5
"('погрузчик', 'бортовый')",5
"('экскаватор', 'гусеничный')",5
"('специализированный', 'транспортный')",5
"('средство', 'перевозка')",5
"('телескопический', 'стрела')",5
"('трактор', 'сельскохозяйственный')",5
"('одноковшовый', 'полноповоротный')",5
"('автобус', 'перевозка')",4
"('бурильный', 'крановый')",4
"('парогенераторный', 'установка')",4
"('бортовой', 'кму')",4
"('лесовоз', 'кму')",4
"('сортиментовоз', 'кму')",4
"('бортовой', 'прицеп')",4
"('полуприцеп', 'цистерна')",4
"('машина', 'внесение')",4
"('одноковшовый', 'гусеничный')",4
"('вагон', 'дом')",4
"('мини', 'экскаватор')",4
"('перевозка', 'опасный')",4
"('опасный', 'груз')",4
"('рефрижератор', 'гидроборт')",4
"('фургон', 'общий')",4
"('самоходный', 'подъемник')",4
"('прицеп', 'специальный')",4
"('кму', 'погрузчик')",4
"('манипулятор', 'автомобильный')",4
"('специализированный', 'самосвал')",4
"('фронтальный', 'колесный')",4
"('полуприцеп', 'самосвал')",4
"('бортовой', 'оснащать')",4
"('кму', 'автомобиль')",4
"('колесный', 'экскаватор')",4
"('специальный', 'агрегат')",4
"('трактор', 'промышленный')",4
"('специальный', 'оснащать')",4
"('ножничный', 'подъемник')",4
"('автомобиль', 'ломовоз')",4
"('перевозка', 'нефтепродукт')",4
"('кму', 'специальный')",4
"('специализированный', 'сортиментовоз')",4
"('установка', 'разведочный')",4
"('разведочный', 'бурение')",4
"('специальный', 'самосвал')",4
"('сельскохозяйственный', 'трактор')",4
"('платформа', 'тент')",4
"('полуприцеп', 'фургон')",4
"('одноковшовый', 'погрузчик')",4
"('специальный', 'многофункциональный')",4
"('телескопический', 'погрузчик')",4
"('трактор', 'гусеничный')",4
"('рефрижератор', 'грузоподъемный')",4
"('специальный', 'асмп')",4
"('снегоболотоход', 'колесный')",4
"('мастерский', 'передвижной')",4
"('специальный', 'установка')",4
"('машина', 'бурильный')",4
"('машина', 'автомобиль')",4
