Тип,Элемент,Частота
Слово,грузовой,51
Слово,бортовой,51
Слово,фургон,51
Слово,грузопассажирский,5
Слово,изотермический,20
Слово,промтоварный,5
Слово,хлебный,3
Слово,цельнометаллический,2
Слово,седельный,15
Слово,тягач,29
Слово,автобус,18
Слово,перевозка,59
Слово,ребенок,2
Слово,вахтовый,4
Слово,городской,2
Слово,ритуальный,3
Слово,автобетононасос,3
Слово,автобетоносмеситель,4
Слово,автогудронатор,3
Слово,автоцистерна,19
Слово,нефтепродукт,5
Слово,пищевой,8
Слово,прицеп,107
Слово,рефрижератор,27
Слово,лесовоз,10
Слово,мусоровоз,6
Слово,сортиментовоз,22
Слово,установка,76
Слово,насосный,7
Слово,цементировочный,4
Слово,агрегат,18
Слово,катафалк,3
Слово,автомобиль,107
Слово,скорый,2
Слово,помощь,2
Слово,автокран,4
Слово,бурильный,14
Слово,крановый,5
Слово,тс,3
Слово,фронтальный,40
Слово,вилочный,34
Слово,автопогрузчик,29
Слово,топливозаправщик,3
Слово,аварийный,3
Слово,автолавка,4
Слово,автомастерская,3
Слово,специальный,201
Слово,парогенераторный,4
Слово,платформа,37
Слово,кму,54
Слово,мультилифт,6
Слово,самосвал,37
Слово,эвакуатор,7
Слово,дизель,2
Слово,генератор,2
Слово,компрессор,5
Слово,самосвальный,7
Слово,цистерна,11
Слово,контейнеровоз,9
Слово,прицепной,14
Слово,ремонт,8
Слово,дорога,6
Слово,роспуск,5
Слово,полуприцеп,81
Слово,автовоз,2
Слово,зерновоз,5
Слово,квадроцикл,2
Слово,панелевоз,2
Слово,скотовоз,2
Слово,цементовоз,2
Слово,крюковой,6
Слово,погрузчик,117
Слово,электропогрузчик,6
Слово,ричстакер,5
Слово,ричтрак,5
Слово,ломовоз,12
Слово,коммунальный,17
Слово,трактор,36
Слово,комбайн,13
Слово,кормораздатчик,3
Слово,косилка,5
Слово,культиватор,3
Слово,машина,121
Слово,внесение,4
Слово,удобрение,4
Слово,опрыскиватель,6
Слово,очиститель,3
Слово,плуг,3
Слово,сочленять,2
Слово,экскаватор,57
Слово,многоковшовый,2
Слово,одноковшовый,31
Слово,гусеничный,59
Слово,бульдозер,8
Слово,колесный,69
Слово,грейдер,2
Слово,каток,37
Слово,полуприцепной,6
Слово,самоходный,95
Слово,асфальтоукладчик,2
Слово,бетоносмеситель,9
Слово,разметочный,5
Слово,растворонасос,2
Слово,фреза,5
Слово,дорожный,40
Слово,буровой,24
Слово,копер,6
Слово,форвардер,2
Слово,уборка,2
Слово,газовый,6
Слово,кран,52
Слово,трубоукладчик,2
Слово,мини,14
Слово,телескопический,24
Слово,вагон,4
Слово,дом,4
Слово,тракторный,25
Слово,рециклер,2
Слово,укладчик,2
Слово,гнб,2
Слово,депарафинизация,3
Слово,скважина,11
Слово,дробильный,9
Слово,мобильный,33
Слово,подборщик,2
Слово,перегружатель,10
Слово,асфальт,3
Слово,измельчитель,9
Слово,пескоразбрасыватель,3
Слово,карьерный,4
Слово,сварочный,4
Слово,смеситель,3
Слово,снегоочиститель,7
Слово,смесительный,7
Слово,планировщик,3
Слово,сортировочный,3
Слово,мульчер,2
Слово,валочный,3
Слово,пакетировать,2
Слово,шторный,4
Слово,вакуумный,15
Слово,инвалид,3
Слово,илососный,2
Слово,комбинированный,10
Слово,скиддер,2
Слово,пневмонагнетатель,3
Слово,бункер,6
Слово,перегрузчик,2
Слово,опасный,4
Слово,груз,12
Слово,гму,6
Слово,станок,3
Слово,подъемник,45
Слово,каротажный,2
Слово,портальный,2
Слово,баровой,2
Слово,грунторезный,2
Слово,пожарный,7
Слово,многофункциональный,7
Слово,строительный,10
Слово,аэродромный,5
Слово,контейнерный,5
Слово,компрессорный,5
Слово,станция,7
Слово,кислотный,2
Слово,обработка,3
Слово,строительство,2
Слово,содержание,3
Слово,коленчатый,10
Слово,разбрасыватель,4
Слово,тентовать,3
Слово,гидроборт,8
Слово,каналопромывочный,4
Слово,очистка,3
Слово,канализационный,3
Слово,сеть,3
Слово,грохот,8
Слово,общий,12
Слово,назначение,14
Слово,многоцелевой,4
Слово,электрический,17
Слово,автогидроподъемник,2
Слово,снегопогрузчик,2
Слово,электромобиль,2
Слово,снегоход,3
Слово,автофургон,5
Слово,подметальный,13
Слово,уборочный,7
Слово,зарядный,3
Слово,манипулятор,23
Слово,жидкий,2
Слово,органический,2
Слово,специализированный,112
Слово,пассажирский,9
Слово,транспортный,16
Слово,средство,15
Слово,снегоболотоход,12
Слово,растворосмеситель,2
Слово,тяжеловоз,4
Слово,распределитель,2
Слово,тент,14
Слово,автомобильный,10
Слово,передвижной,39
Слово,мастерская,7
Слово,сменный,5
Слово,кузов,6
Слово,вибрационный,15
Слово,жидкость,5
Слово,ворота,4
Слово,зерно,4
Слово,задний,4
Слово,загрузка,3
Слово,уборочная,7
Слово,перегрузочный,2
Слово,оснащать,13
Слово,оборудование,7
Слово,дробилка,10
Слово,продукт,4
Слово,питание,3
Слово,землевоз,2
Слово,захват,5
Слово,гидравлический,15
Слово,копровый,3
Слово,автогрейдер,2
Слово,стреловой,14
Слово,короткобазный,2
Слово,ход,23
Слово,лаборатория,11
Слово,сельскохозяйственный,21
Слово,горизонтально,3
Слово,направлять,5
Слово,бурение,12
Слово,ножничный,9
Слово,подъемный,8
Слово,лесовозный,12
Слово,минипогрузчик,5
Слово,двухосный,5
Слово,двухвальцовый,3
Слово,временный,3
Слово,хранение,3
Слово,взрывчатый,5
Слово,вещество,3
Слово,изделие,5
Слово,медицинский,5
Слово,автоэвакуатор,6
Слово,полноповоротный,17
Слово,животное,2
Слово,техника,3
Слово,промышленный,6
Слово,ресайклер,2
Слово,стабилизация,2
Слово,регенерация,3
Слово,полотно,2
Слово,сваебойный,7
Слово,транспортировка,2
Слово,литой,2
Слово,шахтный,2
Слово,конусный,2
Слово,щековый,5
Слово,асфальтобетон,2
Слово,тентованный,4
Слово,прочий,2
Слово,рубильный,2
Слово,комплекс,7
Слово,бетоносмесительный,4
Слово,функция,3
Слово,самозагрузка,5
Слово,универсальный,20
Слово,малогабаритный,10
Слово,сжиженный,3
Слово,углеводородный,3
Слово,газ,3
Слово,короткобазовый,3
Слово,выемка,2
Слово,грунт,2
