Триграмма,Частота
"('оснащать', 'кран', 'манипулятор')",9
"('подъемник', 'рабочий', 'платформа')",9
"('погрузчик', 'колесный', 'ход')",6
"('перевозка', 'сменный', 'кузов')",5
"('кран', 'манипулятор', 'специальный')",5
"('погрузчик', 'бортовый', 'поворот')",5
"('специализированный', 'транспортный', 'средство')",5
"('транспортный', 'средство', 'перевозка')",5
"('экскаватор', 'одноковшовый', 'гусеничный')",4
"('перевозка', 'опасный', 'груз')",4
"('фургон', 'общий', 'назначение')",4
"('кран', 'манипулятор', 'автомобильный')",4
"('грузовой', 'бортовой', 'оснащать')",4
"('бортовой', 'оснащать', 'кран')",4
"('бортовой', 'полуприцеп', 'тент')",4
"('трактор', 'колесный', 'сельскохозяйственный')",4
"('автомобиль', 'тягач', 'лесовозный')",4
"('установка', 'разведочный', 'бурение')",4
"('погрузчик', 'фронтальный', 'одноковшовый')",4
"('кран', 'стреловой', 'самоходный')",4
"('рабочий', 'платформа', 'специальный')",4
"('тягач', 'седельный', 'кму')",3
"('прицеп', 'бортовой', 'прицеп')",3
"('бурильный', 'крановый', 'машина')",3
"('платформа', 'буровой', 'установка')",3
"('очистка', 'канализационный', 'сеть')",3
"('пассажирский', 'транспортный', 'средство')",3
"('грузовой', 'тягач', 'седельный')",3
"('кму', 'специализированный', 'автомобиль')",3
"('автомобиль', 'фургон', 'изотермический')",3
"('фургон', 'изотермический', 'автомобиль')",3
"('специализированный', 'прицеп', 'перевозка')",3
"('специальный', 'седельный', 'тягач')",3
"('перевозка', 'пищевой', 'жидкость')",3
"('общий', 'назначение', 'специальный')",3
"('мусоровоз', 'задний', 'загрузка')",3
"('горизонтально', 'направлять', 'бурение')",3
"('агрегат', 'подъемный', 'ремонт')",3
"('перевозка', 'временный', 'хранение')",3
"('временный', 'хранение', 'взрывчатый')",3
"('хранение', 'взрывчатый', 'вещество')",3
"('самоходный', 'гусеничный', 'ход')",3
"('каток', 'дорожный', 'самоходный')",3
"('сжиженный', 'углеводородный', 'газ')",3
"('автомобиль', 'ломовоз', 'кму')",3
"('тягач', 'лесовозный', 'гм')",3
"('вакуумный', 'специальный', 'автомобиль')",3
"('ломовоз', 'кму', 'прицеп')",3
"('автомобиль', 'фургон', 'рефрижератор')",3
"('передвижной', 'парогенераторный', 'установка')",3
"('специализированный', 'перевозка', 'крупногабаритный')",3
"('бортовой', 'кран', 'манипулятор')",3
"('специальный', 'перевозка', 'сменный')",3
"('мини', 'погрузчик', 'бортовый')",3
"('специализированный', 'перевозка', 'зерно')",3
"('перевозка', 'зерно', 'комбикорм')",3
"('комбинированный', 'дорожный', 'машина')",3
"('фургон', 'рефрижератор', 'грузоподъемный')",3
"('специальный', 'машина', 'вакуумный')",3
"('специализированный', 'прицеп', 'роспуск')",3
"('подметальный', 'уборочный', 'машина')",3
"('рефрижератор', 'грузоподъемный', 'борт')",3
"('мобильный', 'подъемник', 'рабочий')",3
"('вагон', 'дом', 'передвижной')",3
"('фронтальный', 'одноковшовый', 'самоходный')",3
"('установка', 'гусеничный', 'ход')",3
"('экскаватор', 'погрузчик', 'колесный')",3
"('специальный', 'асмп', 'класс')",3
"('подьемник', 'рабочий', 'платформа')",3
"('автобус', 'перевозка', 'ребенок')",2
"('кму', 'лесовоз', 'кму')",2
"('самосвал', 'кму', 'сортиментовоз')",2
"('кму', 'сортиментовоз', 'кму')",2
"('прицеп', 'контейнеровоз', 'прицеп')",2
"('агрегат', 'депарафинизация', 'скважина')",2
"('бортовой', 'прицеп', 'бортовой')",2
"('погрузчик', 'прицеп', 'тракторный')",2
"('прицеп', 'тракторный', 'специальный')",2
"('баровой', 'грунторезный', 'машина')",2
"('кислотный', 'обработка', 'скважина')",2
"('машина', 'строительство', 'содержание')",2
"('машина', 'коммунальный', 'строительный')",2
"('специализированный', 'пассажирский', 'транспортный')",2
"('автомобиль', 'самосвал', 'кму')",2
"('самосвал', 'кму', 'грузовой')",2
"('специальный', 'грузовой', 'седельный')",2
"('грузовой', 'седельный', 'тягач')",2
"('тягач', 'седельный', 'автомобиль')",2
"('кму', 'погрузчик', 'фронтальный')",2
"('седельный', 'тягач', 'кму')",2
"('фургон', 'кран', 'манипулятор')",2
"('автомобиль', 'грузовой', 'кму')",2
"('фургон', 'специализированный', 'прицеп')",2
"('бортовой', 'кму', 'специализированный')",2
"('специализированный', 'перевозка', 'пищевой')",2
"('полуприцеп', 'общий', 'назначение')",2
"('специальный', 'мусоровоз', 'задний')",2
"('колесный', 'мини', 'погрузчик')",2
"('специализированный', 'грузовой', 'бортовой')",2
"('кран', 'манипулятор', 'автомобиль')",2
"('перевозка', 'продукт', 'питание')",2
"('автопогрузчик', 'вилочный', 'захват')",2
"('специализированный', 'бортовой', 'полуприцеп')",2
"('полуприцеп', 'тент', 'специальный')",2
"('специальный', 'грузовой', 'бортовой')",2
"('колесный', 'экскаватор', 'погрузчик')",2
"('направлять', 'бурение', 'специальный')",2
"('бурение', 'специальный', 'машина')",2
"('машина', 'строительный', 'бурильный')",2
"('подъемный', 'ремонт', 'бурение')",2
"('ремонт', 'бурение', 'скважина')",2
"('специальный', 'агрегат', 'депарафинизация')",2
"('каток', 'вибрационный', 'двухосный')",2
"('установка', 'горизонтально', 'направлять')",2
"('специализированный', 'перевозка', 'временный')",2
"('взрывчатый', 'вещество', 'изделие')",2
"('специальный', 'мобильный', 'медицинский')",2
"('буровой', 'самоходный', 'установка')",2
"('общий', 'назначение', 'специализированный')",2
"('специализированный', 'перевозка', 'животное')",2
"('установка', 'мобильный', 'дробильный')",2
"('строительный', 'машина', 'специальный')",2
"('стабилизация', 'регенерация', 'дорожный')",2
"('регенерация', 'дорожный', 'полотно')",2
"('гусеничный', 'ход', 'специальный')",2
"('грузовой', 'фургон', 'рефрижератор')",2
"('манипулятор', 'автомобильный', 'бортовой')",2
"('кран', 'манипулятор', 'специализированный')",2
"('специализированный', 'самосвал', 'кму')",2
"('бетоносмесительный', 'машина', 'функция')",2
"('машина', 'функция', 'самозагрузка')",2
"('специализированный', 'перевозка', 'сжиженный')",2
"('перевозка', 'сжиженный', 'углеводородный')",2
"('специализированный', 'перевозка', 'нефтепродукт')",2
"('погрузчик', 'одноковшовый', 'фронтальный')",2
"('специальный', 'автомобиль', 'тягач')",2
"('специальный', 'обслуживание', 'нефтяной')",2
"('обслуживание', 'нефтяной', 'газовый')",2
"('нефтяной', 'газовый', 'скважина')",2
"('вибрационный', 'автомобиль', 'бортовой')",2
"('автомобиль', 'бортовой', 'шторный')",2
"('бортовой', 'шторный', 'механизм')",2
"('погрузчик', 'одноковшовый', 'колесный')",2
"('одноковшовый', 'колесный', 'автомобиль')",2
"('фронтальный', 'вилочный', 'погрузчик')",2
"('фургон', 'изотермический', 'грузоподъемный')",2
"('изотермический', 'грузоподъемный', 'борт')",2
"('специальный', 'машина', 'комбинировать')",2
"('машина', 'комбинировать', 'специальный')",2
"('установка', 'горизонтальный', 'направлять')",2
"('горизонтальный', 'направлять', 'бурение')",2
"('специализированный', 'фургон', 'перевозка')",2
"('фургон', 'перевозка', 'пищевой')",2
"('перевозка', 'пищевой', 'продукт')",2
"('кран', 'манипулятор', 'погрузчик')",2
"('погрузчик', 'фронтальный', 'телескопический')",2
"('тягач', 'лесовозный', 'кму')",2
"('установка', 'промысловый', 'паровой')",2
"('промысловый', 'паровой', 'передвижной')",2
"('автоцистерна', 'специальный', 'машина')",2
"('перевозка', 'крупногабаритный', 'тяжеловесный')",2
"('крупногабаритный', 'тяжеловесный', 'груз')",2
"('тяжеловесный', 'груз', 'специализированный')",2
"('специализированный', 'автоцистерна', 'перевозка')",2
"('автомобиль', 'металловоз', 'кму')",2
"('фронтальный', 'погрузчик', 'одноковшовый')",2
"('фронтальный', 'специализированный', 'перевозка')",2
"('специальный', 'коммунальный', 'хозяйство')",2
"('специальный', 'передвижной', 'парогенераторный')",2
"('пищевой', 'жидкость', 'подъемник')",2
"('прицеп', 'тракторный', 'сельскохозяйственный')",2
"('агрегат', 'сварочный', 'самоходный')",2
"('грузовой', 'бортовой', 'тентованый')",2
"('фургон', 'рефрижератор', 'специальный')",2
"('специальный', 'передвижной', 'дизельный')",2
"('передвижной', 'дизельный', 'насосный')",2
"('дизельный', 'насосный', 'установка')",2
"('вилочный', 'погрузчик', 'специализированный')",2
"('специализированный', 'автомобиль', 'сортиментовоз')",2
"('специальный', 'автомобиль', 'грузовой')",2
"('средство', 'перевозка', 'опасный')",2
"('автомобиль', 'медицинский', 'служба')",2
"('экскаватор', 'одноковшовый', 'колесный')",2
"('колесный', 'автомобиль', 'самосвал')",2
"('машина', 'очистка', 'канализационный')",2
"('сельскохозяйственный', 'автомобиль', 'фургон')",2
"('специальный', 'агрегат', 'цементировочный')",2
"('прицеп', 'роспуск', 'лесовозный')",2
"('специальный', 'подъемник', 'автомобильный')",2
"('гусеничный', 'трелевочный', 'специальный')",2
"('специальный', 'оснащать', 'подъемник')",2
"('оснащать', 'подъемник', 'рабочий')",2
"('машина', 'бурильный', 'шнековый')",2
"('бурильный', 'шнековый', 'самоходный')",2
"('автомобиль', 'кран', 'манипулятор')",2
"('специальный', 'крюковой', 'погрузчик')",2
"('специальный', 'установка', 'смесительный')",2
"('установка', 'смесительный', 'гидратация')",2
"('смесительный', 'гидратация', 'смесь')",2
"('специальный', 'транспортный', 'средство')",2
"('бульдозерный', 'оборудование', 'погрузчик')",2
"('автомобиль', 'фургон', 'специализированный')",2
"('перевозка', 'хлебобулочный', 'изделие')",2
"('комбайн', 'кормоуборочный', 'самоходный')",2
"('автомобиль', 'фургон', 'специальный')",2
"('строительный', 'фронтальный', 'одноковшовый')",2
"('фронтальный', 'одноковшовый', 'колесный')",2
"('колесный', 'погрузчик', 'специальный')",2
"('специальный', 'передвижной', 'компрессорный')",2
"('передвижной', 'компрессорный', 'станция')",2
"('специализированный', 'перевозка', 'автомобиль')",2
