Слово,Частота
специальный,201
машина,121
погрузчик,117
специализированный,112
прицеп,107
автомобиль,107
самоходный,95
полуприцеп,81
установка,76
колесный,69
перевозка,59
гусеничный,59
экскаватор,57
кму,54
кран,52
грузовой,51
бортовой,51
фургон,51
подъемник,45
фронтальный,40
дорожный,40
передвижной,39
платформа,37
самосвал,37
каток,37
трактор,36
вилочный,34
мобильный,33
одноковшовый,31
тягач,29
автопогрузчик,29
рефрижератор,27
тракторный,25
буровой,24
телескопический,24
манипулятор,23
ход,23
сортиментовоз,22
сельскохозяйственный,21
изотермический,20
универсальный,20
автоцистерна,19
автобус,18
агрегат,18
коммунальный,17
электрический,17
полноповоротный,17
рабочий,17
транспортный,16
седельный,15
вакуумный,15
средство,15
вибрационный,15
гидравлический,15
бурильный,14
прицепной,14
мини,14
назначение,14
тент,14
стреловой,14
дизельный,14
комбайн,13
подметальный,13
оснащать,13
ломовоз,12
груз,12
общий,12
снегоболотоход,12
бурение,12
лесовозный,12
цистерна,11
скважина,11
лаборатория,11
бортовый,11
лесовоз,10
перегружатель,10
комбинированный,10
строительный,10
коленчатый,10
автомобильный,10
дробилка,10
малогабаритный,10
стрела,10
роторный,10
контейнеровоз,9
бетоносмеситель,9
дробильный,9
измельчитель,9
пассажирский,9
ножничный,9
гм,9
борт,9
поворот,9
пищевой,8
ремонт,8
бульдозер,8
гидроборт,8
грохот,8
подъемный,8
грузоподъемный,8
штабелер,8
насосный,7
эвакуатор,7
самосвальный,7
снегоочиститель,7
смесительный,7
пожарный,7
многофункциональный,7
станция,7
уборочный,7
мастерская,7
уборочная,7
оборудование,7
сваебойный,7
комплекс,7
мусоровоз,6
мультилифт,6
дорога,6
крюковой,6
электропогрузчик,6
опрыскиватель,6
полуприцепной,6
копер,6
газовый,6
бункер,6
гму,6
кузов,6
автоэвакуатор,6
промышленный,6
мастерский,6
хозяйство,6
сортировочная,6
грузопассажирский,5
промтоварный,5
нефтепродукт,5
крановый,5
компрессор,5
роспуск,5
зерновоз,5
ричстакер,5
ричтрак,5
косилка,5
разметочный,5
фреза,5
аэродромный,5
контейнерный,5
компрессорный,5
автофургон,5
сменный,5
жидкость,5
захват,5
направлять,5
минипогрузчик,5
двухосный,5
взрывчатый,5
изделие,5
медицинский,5
щековый,5
самозагрузка,5
служба,5
лесной,5
комбинировать,5
кормоуборочный,5
работа,5
трелевочный,5
тип,5
тандемный,5
вахтовый,4
автобетоносмеситель,4
цементировочный,4
автокран,4
автолавка,4
парогенераторный,4
внесение,4
удобрение,4
вагон,4
дом,4
карьерный,4
сварочный,4
шторный,4
опасный,4
разбрасыватель,4
каналопромывочный,4
многоцелевой,4
тяжеловоз,4
ворота,4
зерно,4
задний,4
продукт,4
тентованный,4
бетоносмесительный,4
разведочный,4
зерноуборочный,4
тележка,4
материал,4
асмп,4
погрузочный,4
энергетический,4
хлебный,3
ритуальный,3
автобетононасос,3
автогудронатор,3
катафалк,3
тс,3
топливозаправщик,3
аварийный,3
автомастерская,3
кормораздатчик,3
культиватор,3
очиститель,3
плуг,3
депарафинизация,3
асфальт,3
пескоразбрасыватель,3
смеситель,3
планировщик,3
сортировочный,3
валочный,3
инвалид,3
пневмонагнетатель,3
станок,3
обработка,3
содержание,3
тентовать,3
очистка,3
канализационный,3
сеть,3
снегоход,3
зарядный,3
загрузка,3
питание,3
копровый,3
горизонтально,3
двухвальцовый,3
временный,3
хранение,3
вещество,3
техника,3
регенерация,3
функция,3
сжиженный,3
углеводородный,3
газ,3
короткобазовый,3
автотопливозаправщик,3
пневмоколесный,3
горизонтальный,3
крупногабаритный,3
металловоз,3
мастер,3
гидроманипулятор,3
комбикорм,3
трехосный,3
вездеход,3
бетононасос,3
хлебобулочный,3
барабанный,3
корм,3
бульдозерный,3
ковшовый,3
грунтовый,3
распашной,3
скот,3
шасси,3
механизировать,3
класс,3
подьемник,3
цельнометаллический,2
ребенок,2
городской,2
скорый,2
помощь,2
дизель,2
генератор,2
автовоз,2
квадроцикл,2
панелевоз,2
скотовоз,2
цементовоз,2
сочленять,2
многоковшовый,2
грейдер,2
асфальтоукладчик,2
растворонасос,2
форвардер,2
уборка,2
трубоукладчик,2
рециклер,2
укладчик,2
гнб,2
подборщик,2
мульчер,2
пакетировать,2
илососный,2
скиддер,2
перегрузчик,2
каротажный,2
портальный,2
баровой,2
грунторезный,2
кислотный,2
строительство,2
автогидроподъемник,2
снегопогрузчик,2
электромобиль,2
жидкий,2
органический,2
растворосмеситель,2
распределитель,2
перегрузочный,2
землевоз,2
автогрейдер,2
короткобазный,2
животное,2
ресайклер,2
стабилизация,2
полотно,2
транспортировка,2
литой,2
шахтный,2
конусный,2
асфальтобетон,2
прочий,2
рубильный,2
выемка,2
грунт,2
свеклоуборочный,2
обслуживание,2
нефтяной,2
механизм,2
технический,2
самозагружающийся,2
промысловый,2
паровой,2
электротехнический,2
тяжеловесный,2
м,2
тентованый,2
сортиментовозный,2
сваевдавливать,2
подземный,2
сбор,2
конденсат,2
нефть,2
рама,2
траншейный,2
шнекороторный,2
шнековый,2
гидратация,2
смесь,2
просеиватель,2
раздатчик,2
полунавесной,2
оборотный,2
высокопроизводительный,2
двигатель,2
ворот,2
цепной,2
офис,2
разгрузка,2
неповоротный,2
отвал,2
сейсмический,2
фрезерный,2
перемещение,2
здание,2
устройство,2
погрузка,2
моторный,2
подогреватель,2
поливомоечный,2
картофелеуборочный,2
автодом,2
перронный,2
трап,2
одновальцовый,2
пикап,1
бронированный,1
багги,1
междугородний,1
туристический,1
автобетоновоз,1
сг,1
кормовоз,1
санитарный,1
маслозаправщик,1
автолаборатория,1
автоподъемник,1
инсинератор,1
трейлер,1
жатка,1
птицевоз,1
стекловоз,1
трал,1
тушевоз,1
цветовоз,1
щеповоз,1
электротележка,1
электроштабелер,1
борона,1
ворох,1
сеялка,1
дреноукладчик,1
каналокопатель,1
траншеекопатель,1
скрепер,1
харвестер,1
помещение,1
башенный,1
мотоцикл,1
смешиватель,1
обочина,1
жилой,1
модуль,1
бетонный,1
завод,1
муковоз,1
парогенератор,1
плитка,1
рулоновоз,1
лущильник,1
газоспасательный,1
европлатформа,1
маслостанция,1
трелеровочный,1
багажный,1
колтюбинговый,1
грабли,1
плавильный,1
заливочный,1
маневровый,1
противообледенительный,1
амбулифт,1
щепорубительный,1
минитрактор,1
нефтепромысловый,1
лесопогрузчик,1
гудронатор,1
торговый,1
гидродинамический,1
сучкорезный,1
раскряжевочный,1
протравливатель,1
семя,1
кбу,1
лодочный,1
заказ,1
оборачиватель,1
лента,1
лен,1
блок,1
манифольд,1
нагреватель,1
газонокосилка,1
щебень,1
каркас,1
автосамосвал,1
наземный,1
молотковый,1
число,1
скоропортящийся,1
свайный,1
мусоровозный,1
мотовездеход,1
информационный,1
предупреждать,1
автогазозаправщик,1
электроавтобус,1
гольфкар,1
садовый,1
ковшевой,1
кабинет,1
ветвь,1
заправочный,1
приготовление,1
подогрев,1
л,1
гидроподъемник,1
оказание,1
